Date,Culture,Variety,Nombre,Poids (kg),Section
2021-09-27,Haricot (nain),Jaune,24,1.012,C
2021-09-29,Haricot (nain),Vert,24,8.198,G
2021-09-29,Haricot (nain),Jaune,24,1.522,C
2021-09-29,Haricot (nain),Jaune,24,2.958,D
2021-10-06,Haricot (nain),Jaune,24,0.644,D
2021-10-06,Haricot (nain),Jaune,24,1.148,C
2021-10-06,Haricot (nain),Vert,24,4.258,G
2021-10-06,Haricot (nain),Mix,24,1.864,Vertical
2021-10-06,Haricot (nain),Mix,24,4.368,Vertical
2021-10-13,Haricot (nain),Jaune,24,0.654,C
2021-10-13,Haricot (nain),Jaune,24,0.528,D
2021-10-13,Haricot (nain),Vert,24,6.504,G
2021-10-05,Kiwi,Kiwi,24,0.088,Fruits
2021-05-27,Laitue,Rouge,79,6.723,E
2021-06-03,Laitue,Romaine verte,31,2.588,E
2021-06-03,Laitue,Romaine rouge,24,2.432,E
2021-06-03,Laitue,Feuille / frisee,61,8.166,E
2021-06-07,Laitue,Romaine rouge,25,2.244,E
2021-06-07,Laitue,Jester,33,3.678,E
2021-06-07,Laitue,Romaine verte,34,2.245,E
2021-06-07,Laitue,Boston rouge,22,2.298,E
2021-06-07,Laitue,Feuille rouge,21,2.056,E
2021-06-09,Laitue,Boston rouge,15,1.968,E
2021-06-09,Laitue,Romaine rouge,20,2.304,E
2021-06-09,Laitue,Jester,52,6.934,E
2021-06-09,Laitue,Romaine verte,74,5.853,E
2021-06-10,Laitue,Mix,279,40.776,E
2021-07-05,Laitue,Feuille,14,3.802,Passerelle
2021-07-13,Laitue,Feuille,12,3.25,Passerelle
2021-07-14,Laitue,Feuille,23,7.428,Passerelle
2021-07-20,Laitue,Feuille,10,2.592,G
2021-07-21,Laitue,Feuille (Red Sail),11,1.396,Passerelle
2021-07-21,Laitue,Rosaine,24,2.976,Passerelle
2021-07-26,Laitue,Laitue,10,3.03,Passerelle ?
2021-07-28,Laitue,Laitue,9,2.6,Passerelle ?
2021-08-16,Laitue,Feuille,8,0.984,Passerelle
2021-08-18,Laitue,Laitue,10,0.716,Passerelle
2021-09-22,Laitue,Cegolaine,24,1.436,B
2021-09-22,Laitue,Rosaine?,24,1.08,B
2021-09-28,Laitue,Rosaine,41,3.814,B
2021-09-28,Laitue,Cegolaine,41,5.718,B
2021-10-01,Laitue,Laitue,24,0.166,Passerelle
2021-10-01,Laitue,Laitue,24,1.368,Passerelle
2021-09-02,Shiso,Rouge,24,0.61,Vertical
2021-09-02,Thym,Thym,24,0.49,Vertical
2021-09-07,Estragon,Mexicain,24,0.034,Vertical
2021-09-07,Melisse,Melisse,24,0.064,Vertical
2021-09-07,Sariette,Sariette,24,0.024,Vertical
2021-09-07,Sauge,Sauge,24,0.11,Vertical
2021-09-01,Mesclun,De crucifere de luxe,24,0.848,A
2021-09-08,Mesclun,De luxe,24,1.938,A
2021-09-16,Mesclun,De crucifere de luxe,24,0.694,A
2021-09-22,Mesclun,Mesclun,24,0.7,A
2021-09-22,Mesclun,Moutarde piquante,24,0.948,A
2021-09-22,Mesclun,Melange,24,0.322,A
2021-09-29,Mesclun,West coast,24,0.075,A
2021-09-29,Mesclun,Crucifere de luxe,24,0.446,A
2021-10-13,Mesclun,Crucifere de luxe,24,0.1,A
2021-10-13,Mesclun,West Coast,24,0.65,A
2021-08-04,Oignon,Gold Coin,24,2.54,A
2021-08-09,Oignon,Gold Coin,24,0.548,A
2021-08-11,Oignon,Gold Coin,24,9.936,A
2021-08-18,Oignon,Gold Coin,24,16.884,A
2021-08-25,Oignon,Gold Coin,24,23.128,A
2021-08-31,Oignon,Gold Coin,24,17.92,A
2021-09-07,Oignon,Gold Coin,24,8.316,A
2021-09-14,Oignon,Gold Coin,24,8.578,A
2021-09-14,Oignon,Gold Coin,24,5.958,Passerelle
2021-10-01,Oignon,Gold Coin,24,0.232,Passerelle
2021-09-07,Shiso,Vert,24,0.448,Vertical
2021-09-07,Thym,Thym,24,0.264,Vertical
2021-09-08,Shiso,Vert,24,0.312,Vertical
2021-09-08,Thym,Thym,24,0.168,Vertical
2021-09-13,Thym,Thym,24,0.074,Vertical
2021-09-15,Origan,Origan,24,0.354,Vertical
2021-09-15,Sariette,Sariette,24,0.274,Vertical
2021-09-15,Shiso,Vert,24,0.364,Vertical
2021-05-27,Pak Choi,Vert,24,4.63,G
2021-05-27,Pak Choi,Pourpre,24,0.71,G
2021-08-23,Pak Choi,Pak Choi,13,1.388,B
2021-08-25,Pak Choi,Pak Choi,24,1.204,B
2021-08-27,Pak Choi,Pak Choi,24,5.42,B
2021-08-12,Peche,Coral Star,4,0.856,Fruits
2021-08-12,Peche,Canadian Harmony,7,1.19,Fruits
2021-09-15,Thym,Thym,24,0.268,Vertical
2021-09-16,Liveche,Liveche,24,0.688,Vertical
2021-09-16,Origan,Origan,24,0.242,Vertical
2021-08-25,Piment,Cayenne,24,0.47,D
2021-08-27,Piment,Cayenne,24,0.154,D
2021-08-27,Piment,Jalapeno,24,0.078,D
2021-08-30,Piment,Jalapeno,24,0.162,D
2021-08-30,Piment,Cayenne,24,0.23,D
2021-08-30,Piment,Cayenne,24,0.262,E
2021-09-01,Piment,Cayenne,24,0.316,D
2021-09-01,Piment,Jalapeno,24,0.136,D
2021-09-03,Piment,Cayenne,24,0.226,D
2021-09-03,Piment,Jalapeno,24,0.2,D
2021-09-03,Piment,Cayenne,24,0.248,E
2021-09-07,Piment,Cayenne,24,0.534,D
2021-09-07,Piment,Jalapeno,24,0.188,D
2021-09-09,Piment,Cayenne,24,0.738,E
2021-09-09,Piment,Cayenne,24,0.364,D
2021-09-09,Piment,Jalapeno,24,0.236,D
2021-09-16,Piment,Jalapeno,24,0.992,D
2021-09-16,Piment,Cayenne,24,0.946,D
2021-09-16,Piment,Cayenne,24,1.222,E
2021-09-20,Piment,Jalapeno,24,1.088,D
2021-09-22,Piment,Cayenne,24,1.48,E
2021-09-22,Piment,Jalapeno,24,0.796,D
2021-09-22,Piment,Cayenne,24,0.902,D
2021-09-23,Piment,Cayenne,24,0.544,E
2021-09-23,Piment,Cayenne,24,0.096,D
2021-09-23,Piment,Jalapeno,24,0.144,D
2021-09-30,Piment,Cayenne,24,0.584,D
2021-09-30,Piment,Jalapeno,24,0.364,D
2021-09-30,Piment,Cayenne,24,1.164,E
2021-10-07,Piment,Cayenne,24,0.892,E
2021-10-07,Piment,Jalapeno,24,1.608,D
2021-10-07,Piment,Cayenne,24,0.404,D
2021-10-14,Piment,Jalapeno,24,1.528,D
2021-10-14,Piment,Cayenne,24,0.348,D
2021-10-14,Piment,Cayenne,24,0.964,E
2021-10-22,Piment,Jalapeno,24,0.438,D
2021-10-22,Piment,Cayenne,24,0.19,D
2021-10-22,Piment,Cayenne,24,0.446,E
2021-10-25,Piment,Cayenne,24,0.708,D
2021-10-25,Piment,Jalapeno,24,2.57,D
2021-10-25,Piment,Cayenne,24,0.932,E
2021-10-26,Piment,Jalapeno,24,2.6,E
2021-10-26,Piment,Cayenne,24,1.6,D
2021-09-16,Piment fort,Lemon Drop,24,0.974,E
2021-09-16,Piment fort,Habanero Chocolate,24,0.698,E
2021-09-16,Piment fort,Trinidad Scorpion,24,0.078,E
2021-09-16,Piment fort,Bhut Jolokia,24,0.008,E
2021-09-22,Piment fort,Lemon Drop,24,1.974,E
2021-09-22,Piment fort,Bhut Jolokia,24,0.06,E
2021-09-22,Piment fort,Habanero Chocolate,24,0.47,E
2021-09-22,Piment fort,Trinidad Scorpion,24,0.15,E
2021-09-30,Piment fort,Trinidad Scorpion,24,0.336,E
2021-09-30,Piment fort,Bhut Jolokia,24,0.268,E
2021-09-30,Piment fort,Lemon Drop,24,4.118,E
2021-09-30,Piment fort,Habanero Chocolate,24,3.126,E
2021-10-07,Piment fort,Bhut Jolokia,24,0.596,E
2021-10-07,Piment fort,Trinidad Scorpion,24,0.844,E
2021-10-07,Piment fort,Habanero Chocolate,24,2.76,E
2021-10-07,Piment fort,Lemon Drop,24,4.046,E
2021-10-13,Piment fort,Lemon Drop,24,4.476,E
2021-10-13,Piment fort,Habanero Chocolate,24,1.968,E
2021-10-13,Piment fort,Trinidad Scorpion,24,1.262,E
2021-10-13,Piment fort,Bhut Jolokia,24,0.734,E
2021-10-22,Piment fort,Bhut Jolokia,24,0.946,E
2021-10-22,Piment fort,Trinidad Scorpion,24,1.018,E
2021-10-22,Piment fort,Lemon Drop,24,4.064,E
2021-10-22,Piment fort,Habanero Chocolate,24,2.85,E
2021-10-22,Piment fort,Lemon Drop,24,10.58,E
2021-10-25,Piment fort,Bhut Jolokia,24,4.596,E
2021-10-25,Piment fort,Trinidad Scorpion,24,1.21,E
2021-10-25,Piment fort,Habanero Chocolate,24,2.776,E
2021-10-25,Piment fort,Lemon Drop,24,8.558,E
2021-10-26,Piment fort,Lemon Drop,24,19.2,E
2021-10-26,Piment fort,Habanero Chocolate,24,2.9,E
2021-10-26,Piment fort,Trinidad Scorpion,24,1.3,E
2021-10-26,Piment fort,Bhut Jolokia,24,4.8,E
2021-06-23,Pois,Pois,24,0.186,Passerelle
2021-06-29,Pois,Pois,24,0.576,Passerelle
2021-07-05,Pois,Pois,24,0.336,Passerelle
2021-08-13,Poivron,Hongrois orange,24,0.314,D
2021-08-16,Poivron,Orange Sweet,24,0.402,D
2021-08-16,Poivron,Cupid,24,0.812,D
2021-08-16,Poivron,Aura jaune ?,24,0.26,D
2021-08-18,Poivron,Cupid,24,1.428,G
2021-08-18,Poivron,Aura,24,0.074,G
2021-08-18,Poivron,Orange Sweet,24,0.972,D
2021-08-18,Poivron,Hongrois orange,24,0.254,D
2021-08-18,Poivron,Hongrois rouge,24,0.22,D
2021-08-18,Poivron,Cupid,24,2.056,D
2021-08-18,Poivron,Aura,24,1.442,D
2021-08-18,Poivron,Aura jaune,24,0.392,D
2021-08-18,Poivron,Carmen,24,1.102,D
2021-08-20,Poivron,Cupid,24,1.69,G
2021-08-20,Poivron,Carmen,24,1.924,D
2021-08-20,Poivron,Cupid,24,0.776,D
2021-08-20,Poivron,Aura,24,1.642,D
2021-08-20,Poivron,Hongrois rouge,24,0.758,D
2021-08-23,Poivron,Carmen,24,4.232,D
2021-08-23,Poivron,Aura jaune,24,2.364,D
2021-08-23,Poivron,Aura orange,24,2.202,D
2021-08-23,Poivron,Hongrois orange,24,1.982,D
2021-08-23,Poivron,Hongrois rouge,24,1.104,D
2021-08-23,Poivron,Cupid,24,1.748,D
2021-08-25,Poivron,Hongrois rouge,24,3.014,D
2021-08-25,Poivron,Rouge,24,2.692,D
2021-08-25,Poivron,Cupid,24,2.11,D
2021-08-25,Poivron,Hongrois orange,24,2.312,D
2021-08-25,Poivron,Aura jaune,24,4.218,D
2021-08-25,Poivron,Aura orange,24,0.91,D
2021-08-25,Poivron,Carmen,24,1.534,D
2021-08-25,Poivron,Twingo,24,0.774,D
2021-08-25,Poivron,Cupid,24,3.3,G
2021-08-27,Poivron,Escamillo,24,2.646,D
2021-08-27,Poivron,Twingo,24,0.932,D
2021-08-27,Poivron,Carmen,24,1.658,D
2021-08-27,Poivron,Aura jaune,24,0.544,D
2021-08-27,Poivron,Aura orange,24,0.26,D
2021-08-27,Poivron,Hongrois orange,24,0.702,D
2021-08-27,Poivron,Hongrois rouge,24,0.364,D
2021-08-27,Poivron,Cupid,24,1.668,D
2021-08-27,Poivron,Rouge,24,0.352,D
2021-08-27,Poivron,Cupid,24,0.894,G
2021-08-30,Poivron,Carmen,24,2.664,D
2021-08-30,Poivron,Twingo,24,0.89,D
2021-08-30,Poivron,Escamillo,24,1.506,D
2021-08-30,Poivron,Aura jaune,24,1.534,D
2021-08-30,Poivron,Rouge,24,2.586,D
2021-08-30,Poivron,Hongrois orange,24,1.772,D
2021-08-30,Poivron,Hongrois rouge,24,1.678,D
2021-08-30,Poivron,Aura orange,24,0.664,D
2021-08-30,Poivron,Cupid,24,2.672,D
2021-08-30,Poivron,Aura,24,1.048,G
2021-08-30,Poivron,Cupid,24,0.81,G
2021-09-01,Poivron,Carmen,24,1.58,D
2021-09-01,Poivron,Twingo,24,1.734,D
2021-09-01,Poivron,Rouge,24,2.802,D
2021-09-01,Poivron,Hongrois rouge,24,2.478,D
2021-09-01,Poivron,Hongrois orange,24,0.586,D
2021-09-01,Poivron,Aura orange,24,0.666,D
2021-09-01,Poivron,Cupid,24,3.338,D
2021-09-01,Poivron,Aura jaune,24,2.08,D
2021-09-03,Poivron,Aura jaune,24,1.324,G
2021-09-03,Poivron,Cupid,24,1.464,G
2021-09-03,Poivron,Cupid,24,0.862,D
2021-09-03,Poivron,Aura jaune,24,0.484,D
2021-09-03,Poivron,Aura orange,24,0.108,D
2021-09-03,Poivron,Hongrois orange,24,0.174,D
2021-09-03,Poivron,Hongrois rouge,24,0.838,D
